!	¡I
!!	¡I¡I
!!!	¡I¡I¡I
Be greeted, noble scholar! Tell me, how does this machine work?	±z¦n¡A´L¶Qªº¾ÇªÌ¡I³o¾÷¾¹¬O°µ¤°»ò¥Îªº¡H
Bean	¨§¤l
Bee	»e¸Á
Beh„lter	®e¾¹
Bellows	­·½c
Ben alors la paire d'andouilles, pourquoi vous faites cette tˆte-l…?	§A­Ì¨â­Ó²Â³J·F¹À³o¼ËÀü§Ú¡H
Besen	±½§â
Besessener Narr	ªş¨­¤p¤¡
Bicycle pump	¥´®ğµ©
Biene	»e¸Á
Big key	¤jÆ_°Í
Billot	¯zªO
Birds	³¾¸s
Birilli	«OÄÖ²y²~
Bisognerebbe farli un po' ridere, questi poveri uomini!	±o·Q¿ìªk³r³o¨â­Ó¦Ñ³Ã¥ë¯º¤@¤U¡I
Bitte nehmt dieses bescheidene geschenk entgegen! ist ja kein luxus...	½Ğ¯º¯Ç³o¥÷Á¡Â§¡AÅ¥»¡¶WÉqªº¡I
Blackboard	¶ÂªO
Blacksmith	ÅK¦K
Blase	ªwªw
Blasebalg	­·½c
Bleistift	¹]µ§
Blob	ÂH²G©Ç
Block	¯zªO
Blume	ªá
Blumen	ªá
Bocal	Åø¤l
Boccale	Åø¤l
Boccia	«OÄÖ²y
Bodega	¦aµ¢
Bohne	¨§¤l
Bolla	ªwªw
Bolo	«OÄÖ²y
Bolos	«OÄÖ²y²~
Bols	¸J
Bomb	¬µ¼u
Bomba	¬µ¼u
Bombe	¬µ¼u
Bon j'en ai marre de tourner en rond! indique-nous la sortie mille-pattes!	­ü¡AÂ¶°éÂ¶·Ğ¤F¡I¸¼°G¡A±a¸ô¥X¥h¡I
Bon qu'est-ce que t'attends? Allez! AU travail!	ÁÙµ¥¤°»ò¡H§Ö¥h°µ¨Æ¡AÃi°©ÀY¡I
Bone	°©ÀY
Bonhomme	³Ã¥ë
Bonnet	´U¤l
Bookmark	®ÑÅÒ
Borgomastro	§øªø
Bote de pintura	º£Åø
Botella	²~¤l
Bottiglia	²~¤l
Bottle	²~¤l
Bot¢n	¶}Ãö
Boue	ªd¤Ú
Bouffon	¤p¤¡
Bouffon poss‚d‚	ªş¨­¤p¤¡
Bougie	ÄúÀë
Boule	«OÄÖ²y
Boulette	¦×¤Y
Bouletten	¦×¤Y
Boulettes	¦×¤Y
Bouteille	²~¤l
Bouton	¶}Ãö
Bowl	«OÄÖ²y
Bowling pins	«OÄÖ²y²~
Bowlingball	«OÄÖ²y
Bowlingkugel	«OÄÖ²y
Branch	¾ğªK
Branche	¾ğªK
Broom	±½§â
Brunnen	¤ô¤«
Brush	µeµ§
BuONgiorno nobile saggio! a cosa serve questo arnese?	±z¦n¡A´L¶Qªº¾ÇªÌ¡I³o¾÷¾¹¬O°µ¤°»ò¥Îªº¡H
Bubble	ªwªw
Buco	¬}
Buffone	¤p¤¡
Buffone posseduto	ªş¨­¤p¤¡
Buffoon	¤p¤¡
Buf¢n	¤p¤¡
Buf¢n poseido	ªş¨­¤p¤¡
Buitre	¨rÆN
Bulle	ªwªw
Burbuja	ªwªw
Burrow	¬}¥Ş
Brgermeister	§øªø
C'est au bout du village, la maison avec la fontaine...	¦b§ø¤lºÉÀY¡A¦³¼Q¬u¨º¶¡¡C
C'est par o— la sortie, tas d'os?	¥X¤f¦b­ş¡A¾uÅ\°ï¡H
C'est pour un sondage! Puis-je vous poser quelques questions?	°µ­Ó°İ¨÷½Õ¬d¡A¯à°İ´X­Ó°İÃD¶Ü¡H
C'est trop risqu‚! il faudrait l'effrayer davantage.	¤Ó«_ÀI¤F¡I±o¦A¦hÀ~À~¥L¡K¡K
Ca y est ! on a du boulot pour toi l'artiste!	¦n¤F¡I¦³¬¡­nµ¹§A°µ¡AÃÀ³N®a¡I
Cabeza	ÀY
Cacique	¶m²Ô
Cadena	Ãì¤l
Cafard	Á­½¸
Cage	Å¢¤l
Caisse	²°¤l
Caja	²°¤l
Camino	·Ï§w
Can	º£Åø
Canasta	Äx¤l
Candela	ÄúÀë
Candle	ÄúÀë
Cane	ª¯
Canestro	Äx¤l
Cantina	¦aµ¢
Cap	´U¤l
Cappuccio	´U¤l
Capucha	°Â´U
Capuche	°Â´U
Carne	¦×
Carpet	¦a´à
Casa	©Ğ¤l
Casa del Borgomastro	§ø¤½©Ò
Case	²°¤l
Cassa	²°¤l
Catapult	¼u®g¾¹
Catapulta	¼u®g¾¹
Catapulte	¼u®g¾¹
Catena	Ãì¤l
Cavity	¥W¬}
Cavit…	¥W¬}
Cavit‚	¥W¬}
Ce gugusse est encore trop vigilant! il faudrait l'occuper ailleurs...	³o³Ã¥ë¤ÓÄµÄ±¤F¡A±o¤Ş¶}¥L¡K¡K
Cellar	¦aµ¢
Cellier	¦aµ¢
Ceppo	¯zªO
Cera	Äú
Cerilla	¤õ®ã
Cerillas	¤õ®ã
Cerradura	Âê¤Õ
Cestista	Äx²y­û
Cette ferraille est inutile si vous n'avez pas d'empreinte de la cl‚...	¨S¦³Æ_°Í©İ¦L¡A³o°ï¼oÅK¨S¥Î¡I
Chain	Ãì¤l
Champignon	Ä¨Û£
Charco	¤ôºÚ
ChaŒne	Ãì¤l
Chemin‚e	·Ï§w
Chest	½c¤l
Chewing -gum	¤f­»¿}
Chewing gum	¤f­»¿}
Chewing-gum	¤f­»¿}
Chiave	Æ_°Í
Chiavetta	¶ê§ÎÆ_°Í
Chiavona	¤jÆ_°Í
Chicken	Âû
Chicle	¤f­»¿}
Chicle-	¤f­»¿}
Chien	ª¯
Chimenea	·Ï§w
Chimney	·Ï§w
Chincheta	¹Ï°v
Chinchetas	¹Ï°v
Chitarrista	¦N¥L¤â
Cire	Äú
Clessidra	¨Fº|
Clockmaker	ÄÁ¿ö©±
Clockmaker's	ÄÁ¿ö©±
Clothes peg	¦ç§¨
Clothes pin	¦ç§¨
Cl‚	Æ_°Í
Cl‚ ronde	¶ê§ÎÆ_°Í
Coccodrillo	Æs³½
Cocinero	¼p®v
Cockroach	Á­½¸
Cocodrilo	Æs³½
Coda	§À¤Ú
Coffre	½c¤l
Cola	§À¤Ú
Colibrius	¬_§Q¥¬
Concha	¨©´ß
Conchiglia	¨©´ß
Consult the color chart in the box and type the number corresponding with the color of the space: 1 - red 2 - black 3 - yellow 4 - green 5 - blue 6 - white 7 - grey 8 - magenta	¬d¦â¥d¡A¿é¤J®æ¤lÃC¦â¥N½X¡G1¬õ2¶Â3¶À4ºñ5ÂÅ6¥Õ7¦Ç8¬v¬õ
Consult the colour chart in the box and type the number corresponding with the colour of the space: 1 - red 2 - black 3 - yellow 4 - green 5 - blue 6 - white 7 - grey 8 - magenta	¬d¦â¥d¡A¿é¤J®æ¤lÃC¦â¥N½X¡G1¬õ2¶Â3¶À4ºñ5ÂÅ6¥Õ7¦Ç8¬v¬õ
Consultate la tabella colori contenuta nella scatola e digitate il numero corrispondente Lo spazio: 1 - rosso 2 - nero 3 - giallo 4 - verde 5 - blu 6 - bianco 7 - grigio 8 - malva	¬d¦â¥d¡A¿é¤J®æ¤lÃC¦â¥N½X¡G1¬õ2¶Â3¶À4ºñ5ÂÅ6¥Õ7¦Ç8µµ
Consultez la grille de couleurs fournie avec le logiciel et tapez le chiffre correspondant … la couleur de la case: 1 - rouge 2 - noir 3 - jaune 4 - vert 5 - bleu 6 - blanc 7 - gris 8 - mauve	¬d¦â¥d¡A¿é¤J®æ¤lÃC¦â¥N½X¡G1¬õ2¶Â3¶À4ºñ5ÂÅ6¥Õ7¦Ç8µµ
Container	®e¾¹
Cook	¼p®v
Coperchio	»\¤l
Coquillage	¨©´ß
Corda	Ã·¤l
Corde	Ã·¤l
Cornice	©¥¬[
Corniche	©¥¬[
Cornisa	©¥¬[
Corona	¬Ó«a
Coucou	©B©BÄÁ
Couronne	¬Ó«a
Couvercle	»\¤l
Cover	»\¤l
Crapaud	ÃÊßï
Crayon	¹]µ§
Crocodile	Æs³½
Crown	¬Ó«a
Cr neo	¾uÅ\ÀY
Crƒne	¾uÅ\ÀY
Cucaracha	Á­½¸
Cuckoo-clock	©B©BÄÁ
Cuco	©B©BÄÁ
Cuc—	©B©BÄÁ
Cuerda	Ã·¤l
Cuisinier	¼p®v
Cuoco	¼p®v
Cupboard	Âd¤l
Cure-dent	¤úÅÒ
DATEIVERWALTUNG	¹CÀ¸ºŞ²z
DEPLACEMENT	²¾°Ê
DESPLAZAMIENTO	²¾°Ê
Dalle	¥ÛªO
Das Ekel Amoniak	¨õ¦Hªºªü¼¯¥§¨È
Das Geschick gew„hrt Dir keinen Joker!	©R¹B¤£Åı§A¦b³o¸Ì®³´£¥Ü¡I
Das ist ein siegel... ja und?	³o¬O­Ó¦L³¹¡K¡K¨º¤S«ç¼Ë¡H
Deckel	»\¤l
Degen	¼C
Den	Ã~¥Ş
Dentadura postiza	°²¤ú
Denti	¤ú¾¦
Dentier	°²¤ú
Dentiera	°²¤ú
Dents	¤ú¾¦
Der gefangene Narrenprinz	³Q¥}¸Tªº¤p¤¡¤ı¤l
Despite his advanced age, he still has a sparkle in his eye!	¥L¦~¬öÁö¤j¡A²´¯«ÁÙ¬O«Ü¦³¯«¡I
Di ritorno al villagio trionfanti, i gobliins si accorsero cheil buffone aveva uno strano comportamento...	¤pºëÆF³Í±Û¦^§ø¡A«o¨£¤p¤¡¯«¦â¦³²§¡K¡K
Diamant	Æp¥Û
Diamante	Æp¥Û
Diamond	Æp¥Û
Dientes	¤ú¾¦
Diving suit	¼ç¤ô¦ç
Do you always go around in your birthday suit?	§A³£³o¼Ë¥ú·È·È¨ì³B¶]³á¡H
Dobbiamo ritrovare il figlio del re angulafre, rapito da un demone.	§Ú­Ì­n§ä¦w­ô©Ôµá¤ı³Q¾Û¨«ªº¨à¤l
Dog	ª¯
Don't talk about it! but you can use the magic card for that!	§O´£¤F¡I¤£¹L§A­Ì¥i¥H¥ÎÅ]ªk¥d¡I
Don't talk about that! but you can use the magic card for that!	§O´£¤F¡I¤£¹L§A­Ì¥i¥H¥ÎÅ]ªk¥d¡I
Door	ªù
Dorf	§ø²ø
Drumstick	¹ª´Î
Du Wicht hast nur einen Joker brig!	§A³o²Â³J¡A¥u³Ñ¤@­Ó´£¥Ü°Õ¡I
Du hast keinen Joker mehr!	¥i¼¦ÂÎ¡A§Aªº´£¥Ü¥Î¥ú°Õ¡I
D‚gAge minus! tu me fais de l'ombre! tu ne vois pas que je fais trempette!	ºu°Õ²Â³J¡I§A¾×¨ì¥ú¤F¡A¨S¬İ¨ì§Ú¦bªw¤ô¡H
D‚sol‚! pas le temps...	©êºp¡I§Ú¨SªÅ¡I
E' in fondo al paese, la casa con la fontana...	¦b§ø¤lºÉÀY¡A¦³¼Q¬u¨º¶¡¡C
ECHANGE D'OBJETS	¥æ´«¹D¨ã
EINSTELLUNGEN	¿ï¶µ
EXCHANGE OF OBJECTS	¥æ´«¹D¨ã
Ear	¦Õ¦·
Eau	¤ô
Ecco, fratello nano! abbiamo i due elementi!	¸G¤H¥S§Ì¡A§Ú­Ì¨Ó¤F¡I¨â¼Ë³£®³¨ì¤F¡I
EccoAll'uscita del Villaggio il famoso castello! decisero di girarci attorno.	§ø¥~¦³®y«°³ù¡A¨â¤H¨M©w³}³}
Echelon	±è¶¥
Eclat de verre	¬Á¼ş¸H¤ù
Edler meister der magie, k”nnt ihr uns helfen, dem prinzen zu trinken zu geben	´L·qªºªk®v¡A¯àÀ°¤ı¤l³Ü¤ô¶Ü¡H
Edler musenfreund, k™nnten SIe uns mal ein leitmotiv durchvariieren?	´L¶Qªº¼Ö¤â¡A¯à¬°§Ú­ÌÅÜ«µ¤@¦±¶Ü¡H
Egg	³J
Ehi tu massaia, non avresti mica un cesto?	³Ş¡A¤jÂT¡A¦³Äx¤l­É¤@¤U¶Ü¡H
Ei	³J
Ein zartes kind von einem d„monischen wesen entfhrt!	¼b®zªº«Ä¤l³Q´cÅ]¾Û¨«¤F¡I
Einmachglas	Åø¤l
El inmundo Amoniak	¨õ¦Hªºªü¼¯¥§¨È
El pr¡ncipe buf¢n prisionero	³Q¥}¸Tªº¤p¤¡¤ı¤l
Elisir di gentilezza	¤¯·OÃÄ¤ô
Elixir de gentillesse	¤¯·OÃÄ¤ô
Elixir de la bondad	¤¯·OÃÄ¤ô
Elixir of kindness	¤¯·OÃÄ¤ô
Elmo	ÀY²¯
Empreinte	©İ¦L
Enclume	ÅK¯z
Entschuldige, mein freund, der d„mon hat mich betubt. muss erst wachwerden!	©êºpªB¤Í¡A§Ú³Q´cÅ]¥´·w¤F¡A±o½w½w¡K¡K
Epingle	§O°w
Eponge	®üºø
Ep‚e	¼C
Escafandra	¼ç¤ô¦ç
Escoba	±½§â
Espada	¼C
Espadon	¼C³½
Esponja	®üºø
Esqueleto	¾uÅ\
Est-ce vous le cerbŠre de ces lieux?	§A´N¬O³o¸Ìªº¦aº»¬İªùª¯¡H
Estalopicus	¥v¶ğ¬¥¤ñ®w´µ
Estatua	ÀJ¹³
Estrella	¬P¬P
Estrella de mar	®ü¬P
Et qui me dit que vous voulez vous y rendre pour des motifs louables?	½Ö»¡§A­Ì¥h¨º¬O¦³¥¿·í²z¥Ñ¡H
Et si j'emportais un souvenir de ma visite avant de gober ce truc-l…?	³Ü³o°­ªF¦è«e¡A¥ı®³­Ó¬ö©À«~¦n¤F¡H
Etoile	¬P¬P
Eye	²´·ú
Fabbro	ÅK¦K
Fagiolo	¨§¤l
Fahrradpumpe	¥´®ğµ©
False teeth	°²¤ú
Fanal	´£¿O
Fanale	´£¿O
Fangnetz	®·½ººô
Fango	ªd¤Ú
Fangstrumpf	°Â´U
Faro	¨®¿O
Fauteuil	§ß¤â´È
Feather	¦Ğ¤ò
Feder	¦Ğ¤ò
Feeler	Ä²¨¤
Feile	¾V¤M
Fellow	³Ã¥ë
Fels	©¥¥Û
Felsbrstung	©¥¬[
Fenster	µ¡¤á
Fenˆtre	µ¡¤á
Feu	¤õ
Feuer	¤õ
Fiammiferi	¤õ®ã
Fiammifero	¤õ®ã
Fichiers LanguesR‚glages	ÀÉ®×¢A»y¨¥¢A³]©w
File	¾V¤M
Filet … papillon	®·½ººô
Finestra	µ¡¤á
Fingus	ªâ®æ´µ´µ
Fiore	ªá
Fiori	ªá
Fire	¤õ
Fish	­¹¤H³½
Fish lamp	¿O³½
Flag	¥ÛªO
Flagstone	¥ÛªO
Flaque	¤ôºÚ
Flasche	²~¤l
Fleisch	¦×
Fleur	ªá
Fleurs	ªá
Flor	ªá
Flores	ªá
Flower	ªá
Flowers	ªá
Flycatcher	®·½ººô
Focus	Äl¤õ
Fokus	Äl¤õ
Fontaine	¼Q¬u
Fontana	¼Q¬u
Forgeron	ÅK¦K
Fosso	À¢·¾
Fountain	¼Q¬u
Frantumi	¬Á¼ş¸H¤ù
Frasco	Åø¤l
Frascos	¸J
Freundlichkeitselixir	¤¯·OÃÄ¤ô
Freundtrunk	¤¯·OÃÄ¤ô
FrŠre nain, voil…! nous avons les deux ‚l‚ments!	¸G¤H¥S§Ì¡A§Ú­Ì¨Ó¤F¡I¨â¼Ë³£®³¨ì¤F¡I
Fuchsloch	¬}¥Ş
Fuego	¤õ
Fuente	¼Q¬u
Fumo	·ÏÃú
Fum‚e	·ÏÃú
Fungo	Ä¨Û£
Fuoco	¤õ
GAME MANAGEMENT	¹CÀ¸ºŞ²z
GESTION	¹CÀ¸ºŞ²z
GESTIONE	¹CÀ¸ºŞ²z
GOBLIINS ERROR !	¤pºëÆF¿ù»~¡I
GOBLIINS ERROR!	¤pºëÆF¿ù»~¡I
GRAND MAGICIEN, c'est TON COLLŠgue des terres centrales qui nous envoie!	¤j§Å®v¡I¤¤¤gªº¦P¦æ¬£§Ú­Ì¨Óªº¡I
GRAPHICS Pierre GILHODES	¬ü³N Pierre GILHODES
GReat wizard, your fellow wizard from middle earth has sent us.	¤j§Å®v¡I¤¤¤gªº¦P¦æ¬£§Ú­Ì¨Óªº¡I
GRosser MAGIer, ich komme auf empfehlung des kollegen aus der heimat!	¤j§Å®v¡I¤¤¤gªº¦P¦æ¬£§Ú­Ì¨Óªº¡I
Gabbia	Å¢¤l
Gallina	Âû
Gant	¤â®M
Gardien	¦u½Ã
Gebiá	°²¤ú
Geduld, lieber schmied, wir suchen dir schon, was sie noch brauchen...	­@¤ßÂI¡AÅK¦K¡A§Ú­Ì·|§ä§A­nªº¡K¡K
Geh lieber ran an den blasebalg, statt mich mit geschw„tz zu nerven!	¥hİµ­·½c°Õ¡A§O¦b³o·Ğ§Ú¡I
Geht tom, unseren uhrmachermeister, besuchen, wenn ihr zeitvertreib wollt!	¥h§äÄÁ¦K´ö©i¡A¥L³ÌÀ´¥´µo®É¶¡¡K¡K
Geier	¨rÆN
Gelehrter	¾ÇªÌ
Gelmonster	ÂH²G©Ç
Gentilhomme, il vous reste deux jokers!	²Ô¤h°Ú¡A§AÁÙ³Ñ¨â­Ó´£¥Ü¡I
Gentiluomo, lei ha ancora due jolly!	²Ô¤h°Ú¡A§AÁÙ³Ñ¨â­Ó´£¥Ü¡I
Gentisir	¤¯·OÃÄ¤ô
Gentixir	¤¯·OÃÄ¤ô
Giant	¥¨¤H
Gibt's hier irgendwelche wertsachen?	³o¸Ì¦³¤°»ò­È¿úªF¦è¶Ü¡H
Gigante	¥¨¤H
Gitarrist	¦N¥L¤â
Glass shard	¬Á¼ş¸H¤ù
Glass splinter	¬Á¼ş¸H¤ù
Glassplitter	¬Á¼ş¸H¤ù
Glotziok - lover of cockroaches	¸¯¬¥©_¡AÁ­½¸·R¦nªÌ
Glotziok, aficionado a las cucarachas	¸¯¬¥©_¡AÁ­½¸·R¦nªÌ
Glotziok, amante di scarafaggi	¸¯¬¥©_¡AÁ­½¸·R¦nªÌ
Glotziok, amateur de cafards	¸¯¬¥©_¡AÁ­½¸·R¦nªÌ
Glotziok, der Schabenfreund	¸¯¬¥©_¡AÁ­½¸·R¦nªÌ
Glotziok, lover of cockroaches	¸¯¬¥©_¡AÁ­½¸·R¦nªÌ
Glove	¤â®M
Gorro	´U¤l
Gouvernail	²ë
Graben	À¢·¾
Graine	ºØ¤l
Gran zanja	À¢·¾
Grande mago, siamo giunti da terre lontane, mandati qui dal tuocollega!	¤j§Å®v¡I¤¤¤gªº¦P¦æ¬£§Ú­Ì¨Óªº¡I
Gromelon	¸¯Ã¹»X
Grosse cl‚	¤jÆ_°Í
Guante	¤â®M
Guanto	¤â®M
Guard	¦u½Ã
Guardiano	¦u½Ã
Guardi n	¦u½Ã
Guarida	Ã~¥Ş
Guitarist	¦N¥L¤â
Guitariste	¦N¥L¤â
Guitarrista	¦N¥L¤â
Gusano	³L°C
G‚ant	¥¨¤H
HMMM! Vous avez l'air succulent! Pour s–r, vous ferez un bon r“ti!	¶â¡A§A¬İ°_¨Ó«Ü¦n¦Y¡A·|¬O¹D¬ü¨ı¯N¦×¡I
HMMM! sie sehen aber lecker aus! sie g„ben sicher einen prima braten ab!	¶â¡A§A¬İ°_¨Ó«Ü¦n¦Y¡A·|¬O¹D¬ü¨ı¯N¦×¡I
HMMM! you look really delicious. you'll make a lovely roast!	¶â¡A§A¬İ°_¨Ó«Ü¦n¦Y¡A·|¬O¹D¬ü¨ı¯N¦×¡I
Haben noch zwei Joker zur Verfgung!	²Ô¤h°Ú¡A§AÁÙ³Ñ¨â­Ó´£¥Ü¡I
Hacha	©òÀY
Hache	©òÀY
Hackklotz	¯zªO
Hallo, leute, kennt einer das haus des herren tazaar?	³Ş¡I§Aª¾¹D¶ğÂÄº¸¤j¤H¦í­ş¶Ü¡H
Handle	¤M¬`
Hands	Âù¤â
Handschuh	¤â®M
Handschuhe	¤â®M
Haricot	¨§¤l
Hatchet	©òÀY
Haus	©Ğ¤l
He, alter junge, modemus, der zauberer, hat uns zu dir geschickt!	¼K¡A¦Ñ®ü°\¡A¼¯¼w©i´µ¬£§Ú­Ì¨Ó§ä§A¡I
He, ich meine, du h„ttest da noch was mitzunehmen vergessen, oder?	ÕÙ¡A§Ú­Ì¦n¹³§Ñ¤F®³­«­nªºªF¦è¡I
Head	ÀY
Headlight	¨®¿O
Heaume	ÀY²¯
Heftzwecke	¹Ï°v
Heftzwecken	¹Ï°v
Hei, microbo, lasciami in pace! cerco di dimenticare che ho fame e sete!	³Ş¡A²Â³J¡I§O·Ğ§Ú¡A§Ú¥¿§Ñ°O°§´÷©O¡C
Hello there! any luck?	¼K¡A§A¦n°Ú¡I¦³¶i®i¶Ü¡H
Hello, friend cockroach! it's not easy getting around here!	«¢Åo¡AÁ­½¸¥S¡I³o¸Ì¯u¤£¦n¨«¡I
Hello, friend cockroach! not easy getting around here!	«¢Åo¡AÁ­½¸¥S¡I³o¸Ì¯u¤£¦n¨«¡I
Hello, there! any luck?	¼K¡A§A¦n°Ú¡I¦³¶i®i¶Ü¡H
Helm	ÀY²¯
Helmet	ÀY²¯
Henne	Âû
Herrero	ÅK¦K
Hey, maggot, bow down before your god!	³Ş¡A³IÂÎ¡Aµ¹§Ú¸÷¤U«ô§Aªº¯«¡I
Hey, maggot, bow down before your master!	³Ş¡A³IÂÎ¡Aµ¹§Ú¸÷¤U«ô§Aªº¯«¡I
Hey, old walrus, modemus the wizard has sent us to you!	¼K¡A¦Ñ®ü°\¡A¼¯¼w©i´µ¬£§Ú­Ì¨Ó§ä§A¡I
Hey, villager, do you know the house of the lord TAZAAR?	³Ş¡I§Aª¾¹D¶ğÂÄº¸¤j¤H¦í­ş¶Ü¡H
Hipocampo	®ü°¨
Hippocampe	®ü°¨
Hocker	¹¹¤l
Hoist	¦Q¨®
Hole	¬}
Holzstapel	®ã°ï
Holzstatue	ÀJ¹³
Hol… vieux phoque, modemus le magicos nous envoie … toi!	¼K¡A¦Ñ®ü°\¡A¼¯¼w©i´µ¬£§Ú­Ì¨Ó§ä§A¡I
Hombrecito	³Ã¥ë
Honey	¸Á»e
Hongo	Ä¨Û£
Hongos	Ä¨Û£
Honig	¸Á»e
Hood	°Â´U
Horlogerie	ÄÁ¿ö©±
Hose	¤ôºŞ
Hourglass	¨Fº|
House	©Ğ¤l
Hueco	¥W¬}
Huella	©İ¦L
Hueso	°©ÀY
Huevo	³J
Humo	·ÏÃú
Hund	ª¯
H„nde	Âù¤â
