# 由 tools/merge_units.py 從 translation/out/*.tsv 產生，**不要直接編輯這個檔**——下次合併會蓋掉。
!	！
!!	！！
!!!	！！！
BONJOUR noble savant! quelle est la fonction de cet engin?	您好，尊貴的學者！這機器是做什麼用的？
BUEN Día aldeanos, ¿conocéis la casa de don TAZAAR?	喂！你知道塔薩爾大人住哪嗎？
Bacchetta	鼓棒
Baguette	鼓棒
Balai	掃把
Ball	保齡球
Ballon	氣球
Bartschlüssel	大鑰匙
Basket	籃子
Basketball player	籃球員
Basketballer	籃球員
Basketteur	籃球員
Baúl	箱子
Be greeted, noble scholar! Tell me, how does this machine work?	您好，尊貴的學者！這機器是做什麼用的？
Bean	豆子
Bee	蜜蜂
Behälter	容器
Bellows	風箱
Ben alors la paire d'andouilles, pourquoi vous faites cette tête-là?	你們兩個笨蛋幹嘛這樣瞪我？
Besen	掃把
Besessener Narr	附身小丑
Bicycle pump	打氣筒
Biene	蜜蜂
Big key	大鑰匙
Billot	砧板
Birds	鳥群
Birilli	保齡球瓶
Bisognerebbe farli un po' ridere, questi poveri uomini!	得想辦法逗這兩個老傢伙笑一下！
Bitte nehmt dieses bescheidene geschenk entgegen! ist ja kein luxus...	請笑納這份薄禮，聽說超夯的！
Blackboard	黑板
Blacksmith	鐵匠
Blase	泡泡
Blasebalg	風箱
Bleistift	鉛筆
Blob	黏液怪
Block	砧板
Blume	花
Blumen	花
Bocal	罐子
Boccale	罐子
Boccia	保齡球
Bodega	地窖
Bohne	豆子
Bolla	泡泡
Bolo	保齡球
Bolos	保齡球瓶
Bols	碗
Bomb	炸彈
Bomba	炸彈
Bombe	炸彈
Bon j'en ai marre de tourner en rond! indique-nous la sortie mille-pattes!	唉，繞圈繞煩了！蜈蚣，帶路出去！
Bon qu'est-ce que t'attends? Allez! AU travail!	還等什麼？快去做事，懶骨頭！
Bone	骨頭
Bonhomme	傢伙
Bonnet	帽子
Bookmark	書籤
Borgomastro	村長
Bote de pintura	漆罐
Botella	瓶子
Bottiglia	瓶子
Bottle	瓶子
Botón	開關
Boue	泥巴
Bouffon	小丑
Bouffon possédé	附身小丑
Bougie	蠟燭
Boule	保齡球
Boulette	肉丸
Bouletten	肉丸
Boulettes	肉丸
Bouteille	瓶子
Bouton	開關
Bowl	保齡球
Bowling pins	保齡球瓶
Bowlingball	保齡球
Bowlingkugel	保齡球
Branch	樹枝
Branche	樹枝
Broom	掃把
Brunnen	水井
Brush	畫筆
BuONgiorno nobile saggio! a cosa serve questo arnese?	您好，尊貴的學者！這機器是做什麼用的？
Bubble	泡泡
Buco	洞
Buffone	小丑
Buffone posseduto	附身小丑
Buffoon	小丑
Bufón	小丑
Bufón poseido	附身小丑
Buitre	禿鷹
Bulle	泡泡
Burbuja	泡泡
Burrow	洞穴
Bürgermeister	村長
C'est au bout du village, la maison avec la fontaine...	在村子盡頭，有噴泉那間。
C'est par où la sortie, tas d'os?	出口在哪，骷髏堆？
C'est pour un sondage! Puis-je vous poser quelques questions?	做個問卷調查，能問幾個問題嗎？
C'est trop risqué! il faudrait l'effrayer davantage.	太冒險了！得再多嚇嚇他……
Ca y est ! on a du boulot pour toi l'artiste!	好了！有活要給你做，藝術家！
Cabeza	頭
Cacique	鄉紳
Cadena	鏈子
Cafard	蟑螂
Cage	籠子
Caisse	盒子
Caja	盒子
Camino	煙囪
Can	漆罐
Canasta	籃子
Candela	蠟燭
Candle	蠟燭
Cane	狗
Canestro	籃子
Cantina	地窖
Cap	帽子
Cappuccio	帽子
Capucha	兜帽
Capuche	兜帽
Carne	肉
Carpet	地毯
Casa	房子
Casa del Borgomastro	村公所
Case	盒子
Cassa	盒子
Catapult	彈射器
Catapulta	彈射器
Catapulte	彈射器
Catena	鏈子
Cavity	凹洞
Cavità	凹洞
Cavité	凹洞
Ce gugusse est encore trop vigilant! il faudrait l'occuper ailleurs...	這傢伙太警覺了，得引開他……
Cellar	地窖
Cellier	地窖
Ceppo	砧板
Cera	蠟
Cerilla	火柴
Cerillas	火柴
Cerradura	鎖孔
Cestista	籃球員
Cette ferraille est inutile si vous n'avez pas d'empreinte de la clé...	沒有鑰匙拓印，這堆廢鐵沒用！
Chain	鏈子
Champignon	蘑菇
Charco	水窪
Chaîne	鏈子
Cheminée	煙囪
Chest	箱子
Chewing -gum	口香糖
Chewing gum	口香糖
Chewing-gum	口香糖
Chiave	鑰匙
Chiavetta	圓形鑰匙
Chiavona	大鑰匙
Chicken	雞
Chicle	口香糖
Chicle-	口香糖
Chien	狗
Chimenea	煙囪
Chimney	煙囪
Chincheta	圖釘
Chinchetas	圖釘
Chitarrista	吉他手
Cire	蠟
Clessidra	沙漏
Clockmaker	鐘錶店
Clockmaker's	鐘錶店
Clothes peg	衣夾
Clothes pin	衣夾
Clé	鑰匙
Clé ronde	圓形鑰匙
Coccodrillo	鱷魚
Cocinero	廚師
Cockroach	蟑螂
Cocodrilo	鱷魚
Coda	尾巴
Coffre	箱子
Cola	尾巴
Colibrius	柯利布
Concha	貝殼
Conchiglia	貝殼
Consult the color chart in the box and type the number corresponding with the color of the space: 1 - red 2 - black 3 - yellow 4 - green 5 - blue 6 - white 7 - grey 8 - magenta	查色卡，輸入格子顏色代碼：1紅2黑3黃4綠5藍6白7灰8洋紅
Consult the colour chart in the box and type the number corresponding with the colour of the space: 1 - red 2 - black 3 - yellow 4 - green 5 - blue 6 - white 7 - grey 8 - magenta	查色卡，輸入格子顏色代碼：1紅2黑3黃4綠5藍6白7灰8洋紅
Consultate la tabella colori contenuta nella scatola e digitate il numero corrispondente Lo spazio: 1 - rosso 2 - nero 3 - giallo 4 - verde 5 - blu 6 - bianco 7 - grigio 8 - malva	查色卡，輸入格子顏色代碼：1紅2黑3黃4綠5藍6白7灰8紫
Consultez la grille de couleurs fournie avec le logiciel et tapez le chiffre correspondant à la couleur de la case: 1 - rouge 2 - noir 3 - jaune 4 - vert 5 - bleu 6 - blanc 7 - gris 8 - mauve	查色卡，輸入格子顏色代碼：1紅2黑3黃4綠5藍6白7灰8紫
Container	容器
Cook	廚師
Coperchio	蓋子
Coquillage	貝殼
Corda	繩子
Corde	繩子
Cornice	岩架
Corniche	岩架
Cornisa	岩架
Corona	皇冠
Coucou	咕咕鐘
Couronne	皇冠
Couvercle	蓋子
Cover	蓋子
Crapaud	蟾蜍
Crayon	鉛筆
Crocodile	鱷魚
Crown	皇冠
Cráneo	骷髏頭
Crâne	骷髏頭
Cucaracha	蟑螂
Cuckoo-clock	咕咕鐘
Cuco	咕咕鐘
Cucù	咕咕鐘
Cuerda	繩子
Cuisinier	廚師
Cuoco	廚師
Cupboard	櫃子
Cure-dent	牙籤
DATEIVERWALTUNG	遊戲管理
DEPLACEMENT	移動
DESPLAZAMIENTO	移動
Dalle	石板
Das Ekel Amoniak	卑劣的阿摩尼亞
Das Geschick gewährt Dir keinen Joker!	命運不讓你在這裡拿提示！
Das ist ein siegel... ja und?	這是個印章……那又怎樣？
Deckel	蓋子
Degen	劍
Den	獸穴
Dentadura postiza	假牙
Denti	牙齒
Dentier	假牙
Dentiera	假牙
Dents	牙齒
Der gefangene Narrenprinz	被囚禁的小丑王子
Despite his advanced age, he still has a sparkle in his eye!	他年紀雖大，眼神還是很有神！
Di ritorno al villagio trionfanti, i gobliins si accorsero cheil buffone aveva uno strano comportamento...	小精靈凱旋回村，卻見小丑神色有異……
Diamant	鑽石
Diamante	鑽石
Diamond	鑽石
Dientes	牙齒
Diving suit	潛水衣
Do you always go around in your birthday suit?	你都這樣光溜溜到處跑喔？
Dobbiamo ritrovare il figlio del re angulafre, rapito da un demone.	我們要找安哥拉菲王被擄走的兒子
Dog	狗
Don't talk about it! but you can use the magic card for that!	別提了！不過你們可以用魔法卡！
Don't talk about that! but you can use the magic card for that!	別提了！不過你們可以用魔法卡！
Door	門
Dorf	村莊
Drumstick	鼓棒
Du Wicht hast nur einen Joker übrig!	你這笨蛋，只剩一個提示啦！
Du hast keinen Joker mehr!	可憐蟲，你的提示用光啦！
DégAge minus! tu me fais de l'ombre! tu ne vois pas que je fais trempette!	滾啦笨蛋！你擋到光了，沒看到我在泡水？
Désolé! pas le temps...	抱歉！我沒空！
E' in fondo al paese, la casa con la fontana...	在村子盡頭，有噴泉那間。
ECHANGE D'OBJETS	交換道具
EINSTELLUNGEN	選項
EXCHANGE OF OBJECTS	交換道具
Ear	耳朵
Eau	水
Ecco, fratello nano! abbiamo i due elementi!	矮人兄弟，我們來了！兩樣都拿到了！
EccoAll'uscita del Villaggio il famoso castello! decisero di girarci attorno.	村外有座城堡，兩人決定逛逛
Echelon	梯階
Eclat de verre	玻璃碎片
Edler meister der magie, könnt ihr uns helfen, dem prinzen zu trinken zu geben	尊敬的法師，能幫王子喝水嗎？
Edler musenfreund, kÖnnten SIe uns mal ein leitmotiv durchvariieren?	尊貴的樂手，能為我們變奏一曲嗎？
Egg	蛋
Ehi tu massaia, non avresti mica un cesto?	喂，大嬸，有籃子借一下嗎？
Ei	蛋
Ein zartes kind von einem dämonischen wesen entführt!	嬌弱的孩子被惡魔擄走了！
Einmachglas	罐子
El inmundo Amoniak	卑劣的阿摩尼亞
El príncipe bufón prisionero	被囚禁的小丑王子
Elisir di gentilezza	仁慈藥水
Elixir de gentillesse	仁慈藥水
Elixir de la bondad	仁慈藥水
Elixir of kindness	仁慈藥水
Elmo	頭盔
Empreinte	拓印
Enclume	鐵砧
Entschuldige, mein freund, der dämon hat mich betÄubt. muss erst wachwerden!	抱歉朋友，我被惡魔打暈了，得緩緩……
Epingle	別針
Eponge	海綿
Epée	劍
Escafandra	潛水衣
Escoba	掃把
Espada	劍
Espadon	劍魚
Esponja	海綿
Esqueleto	骷髏
Est-ce vous le cerbère de ces lieux?	你就是這裡的地獄看門狗？
Estalopicus	史塔洛比庫斯
Estatua	雕像
Estrella	星星
Estrella de mar	海星
Et qui me dit que vous voulez vous y rendre pour des motifs louables?	誰說你們去那是有正當理由？
Et si j'emportais un souvenir de ma visite avant de gober ce truc-là?	喝這鬼東西前，先拿個紀念品好了？
Etoile	星星
Eye	眼睛
Fabbro	鐵匠
Fagiolo	豆子
Fahrradpumpe	打氣筒
False teeth	假牙
Fanal	提燈
Fanale	提燈
Fangnetz	捕蝶網
Fango	泥巴
Fangstrumpf	兜帽
Faro	車燈
Fauteuil	扶手椅
Feather	羽毛
Feder	羽毛
Feeler	觸角
Feile	銼刀
Fellow	傢伙
Fels	岩石
Felsbrüstung	岩架
Fenster	窗戶
Fenêtre	窗戶
Feu	火
Feuer	火
Fiammiferi	火柴
Fiammifero	火柴
Fichiers LanguesRéglages	檔案／語言／設定
File	銼刀
Filet à papillon	捕蝶網
Finestra	窗戶
Fingus	芬格斯斯
Fiore	花
Fiori	花
Fire	火
Fish	食人魚
Fish lamp	燈魚
Flag	石板
Flagstone	石板
Flaque	水窪
Flasche	瓶子
Fleisch	肉
Fleur	花
Fleurs	花
Flor	花
Flores	花
Flower	花
Flowers	花
Flycatcher	捕蝶網
Focus	爐火
Fokus	爐火
Fontaine	噴泉
Fontana	噴泉
Forgeron	鐵匠
Fosso	壕溝
Fountain	噴泉
Frantumi	玻璃碎片
Frasco	罐子
Frascos	碗
Freundlichkeitselixir	仁慈藥水
Freundtrunk	仁慈藥水
Frère nain, voilà! nous avons les deux éléments!	矮人兄弟，我們來了！兩樣都拿到了！
Fuchsloch	洞穴
Fuego	火
Fuente	噴泉
Fumo	煙霧
Fumée	煙霧
Fungo	蘑菇
Fuoco	火
GAME MANAGEMENT	遊戲管理
GESTION	遊戲管理
GESTIONE	遊戲管理
GOBLIINS ERROR !	小精靈錯誤！
GOBLIINS ERROR!	小精靈錯誤！
GRAND MAGICIEN, c'est TON COLLègue des terres centrales qui nous envoie!	大巫師！中土的同行派我們來的！
GRAPHICS Pierre GILHODES	美術 Pierre GILHODES
GReat wizard, your fellow wizard from middle earth has sent us.	大巫師！中土的同行派我們來的！
GRosser MAGIer, ich komme auf empfehlung des kollegen aus der heimat!	大巫師！中土的同行派我們來的！
Gabbia	籠子
Gallina	雞
Gant	手套
Gardien	守衛
Gebiß	假牙
Geduld, lieber schmied, wir suchen dir schon, was sie noch brauchen...	耐心點，鐵匠，我們會找你要的……
Geh lieber ran an den blasebalg, statt mich mit geschwätz zu nerven!	去搧風箱啦，別在這煩我！
Geht tom, unseren uhrmachermeister, besuchen, wenn ihr zeitvertreib wollt!	去找鐘匠湯姆，他最懂打發時間……
Geier	禿鷹
Gelehrter	學者
Gelmonster	黏液怪
Gentilhomme, il vous reste deux jokers!	紳士啊，你還剩兩個提示！
Gentiluomo, lei ha ancora due jolly!	紳士啊，你還剩兩個提示！
Gentisir	仁慈藥水
Gentixir	仁慈藥水
Giant	巨人
Gibt's hier irgendwelche wertsachen?	這裡有什麼值錢東西嗎？
Gigante	巨人
Gitarrist	吉他手
Glass shard	玻璃碎片
Glass splinter	玻璃碎片
Glassplitter	玻璃碎片
Glotziok - lover of cockroaches	葛洛奇，蟑螂愛好者
Glotziok, aficionado a las cucarachas	葛洛奇，蟑螂愛好者
Glotziok, amante di scarafaggi	葛洛奇，蟑螂愛好者
Glotziok, amateur de cafards	葛洛奇，蟑螂愛好者
Glotziok, der Schabenfreund	葛洛奇，蟑螂愛好者
Glotziok, lover of cockroaches	葛洛奇，蟑螂愛好者
Glove	手套
Gorro	帽子
Gouvernail	舵
Graben	壕溝
Graine	種子
Gran zanja	壕溝
Grande mago, siamo giunti da terre lontane, mandati qui dal tuocollega!	大巫師！中土的同行派我們來的！
Gromelon	葛羅蒙
Grosse clé	大鑰匙
Guante	手套
Guanto	手套
Guard	守衛
Guardiano	守衛
Guardián	守衛
Guarida	獸穴
Guitarist	吉他手
Guitariste	吉他手
Guitarrista	吉他手
Gusano	蚯蚓
Géant	巨人
HMMM! Vous avez l'air succulent! Pour sûr, vous ferez un bon rôti!	嗯，你看起來很好吃，會是道美味烤肉！
HMMM! sie sehen aber lecker aus! sie gäben sicher einen prima braten ab!	嗯，你看起來很好吃，會是道美味烤肉！
HMMM! you look really delicious. you'll make a lovely roast!	嗯，你看起來很好吃，會是道美味烤肉！
Haben noch zwei Joker zur Verfügung!	紳士啊，你還剩兩個提示！
Hacha	斧頭
Hache	斧頭
Hackklotz	砧板
Hallo, leute, kennt einer das haus des herren tazaar?	喂！你知道塔薩爾大人住哪嗎？
Handle	刀柄
Hands	雙手
Handschuh	手套
Handschuhe	手套
Haricot	豆子
Hatchet	斧頭
Haus	房子
He, alter junge, modemus, der zauberer, hat uns zu dir geschickt!	嘿，老海豹，摩德姆斯派我們來找你！
He, ich meine, du hättest da noch was mitzunehmen vergessen, oder?	欸，我們好像忘了拿重要的東西！
Head	頭
Headlight	車燈
Heaume	頭盔
Heftzwecke	圖釘
Heftzwecken	圖釘
Hei, microbo, lasciami in pace! cerco di dimenticare che ho fame e sete!	喂，笨蛋！別煩我，我正忘記飢渴呢。
Hello there! any luck?	嘿，你好啊！有進展嗎？
Hello, friend cockroach! it's not easy getting around here!	哈囉，蟑螂兄！這裡真不好走！
Hello, friend cockroach! not easy getting around here!	哈囉，蟑螂兄！這裡真不好走！
Hello, there! any luck?	嘿，你好啊！有進展嗎？
Helm	頭盔
Helmet	頭盔
Henne	雞
Herrero	鐵匠
Hey, maggot, bow down before your god!	喂，蛆蟲，給我跪下拜你的神！
Hey, maggot, bow down before your master!	喂，蛆蟲，給我跪下拜你的神！
Hey, old walrus, modemus the wizard has sent us to you!	嘿，老海豹，摩德姆斯派我們來找你！
Hey, villager, do you know the house of the lord TAZAAR?	喂！你知道塔薩爾大人住哪嗎？
Hipocampo	海馬
Hippocampe	海馬
Hocker	凳子
Hoist	吊車
Hole	洞
Holzstapel	柴堆
Holzstatue	雕像
Holà vieux phoque, modemus le magicos nous envoie à toi!	嘿，老海豹，摩德姆斯派我們來找你！
Hombrecito	傢伙
Honey	蜂蜜
Hongo	蘑菇
Hongos	蘑菇
Honig	蜂蜜
Hood	兜帽
Horlogerie	鐘錶店
Hose	水管
Hourglass	沙漏
House	房子
Hueco	凹洞
Huella	拓印
Hueso	骨頭
Huevo	蛋
Humo	煙霧
Hund	狗
Hände	雙手
Hé cloporte, prosterne-toi devant ton dieu!	喂，蛆蟲，給我跪下拜你的神！
Hélà villageois connaissez-vous la maison du sieur TAZAAR?	喂！你知道塔薩爾大人住哪嗎？
Höhlung	凹洞
I am the true king here! only my crown can return me to my kingly stature!	我才是真正的國王！皇冠能讓我變回原樣！
I'm sorry, friend, the demon knocked me out and i have to recover.	抱歉朋友，我被惡魔打暈了，得緩緩……
I'm the true king of this place! only my crown can give me back my right size	我才是真正的國王！皇冠能讓我變回原樣！
INTERCAMBIO DE OBJETOS	交換道具
INVENTAIRE	道具欄
INVENTAR	道具欄
INVENTARIO	道具欄
INVENTORY	道具欄
Il Principe Buffone prigioniero	被囚禁的小丑王子
Il faudrait les faire rire un peu, ces deux pauvres bougres!	得想辦法逗這兩個老傢伙笑一下！
Il n'y aurait pas un trésor à glaner dans le coin?	這附近會不會有寶藏啊？
Il s'agit de neutraliser amoniak et ses deux acolytes en leur faisant absorber de l'élixir de gentillesse par l'intermédiaire de leur plat favori. pour capturer les cafards, qu'on peut faire sortir de l'oeil en tirant sur la langue tandis qu'on passe par les oreilles, il vaut mieux enfiler un gant. amoniak lui, n'aime que les coccinelles, mais un cafard habilement grimé peut donner le change...	要制伏阿摩尼亞和他兩個手下，得把友善藥水混進他們最愛吃的東西裡。蟑螂很難搞，最好戴上手套抓。阿摩尼亞只愛瓢蟲，但打扮得像的蟑螂應該也能矇混過關。
Imperdible	別針
Imprint	拓印
Impronta	拓印
Incudine	鐵砧
Inflador	打氣筒
Ippocampo	海馬
It smells like honey. can you eatit?	聞起來像蜂蜜，能吃嗎？
Jar	罐子
Jaula	籠子
Je voudrais bien mais je n'y vois rien depuis qu'amoniak m'a ôté mes 2 yeux!	我也想，但阿摩尼亞偷走我雙眼，看不見
Jet d'eau	水柱
Jet of water	水柱
Judía	豆子
Jugador de baloncesto	籃球員
Kael	凱爾
Kamin	煙囪
Katapult	彈射器
Kaugummi	口香糖
Kegel	保齡球瓶
Keller	地窖
Kerze	蠟燭
Kette	鏈子
Kettle	茶壺
Key	鑰匙
Keyhole	鎖孔
Kind elixir	仁慈藥水
Kindelexir	仁慈藥水
Kindelixir	仁慈藥水
Kiste	盒子
Knochen	骨頭
Knopf	開關
Koch	廚師
Kopf	頭
Korb	籃子
Korn	種子
Krake	章魚
Krokodil	鱷魚
Krone	皇冠
Kröte	蟾蜍
Kuckucksuhr	咕咕鐘
KÖnnen sie uns bitte hier durchlassen? das wäre wirklich nett...	可以讓我們過去嗎？
Käfig	籠子
L'ignobile Amoniak	卑劣的阿摩尼亞
L'ignoble Amoniak	卑劣的阿摩尼亞
L'outil contenu dans le coffre n'est accessible que par l'action combinée des deux gobliins. winkle l'ouvre avec l'aide d'une puissante étoile de mer tandis que fingus en prélèvele contenu depuis le pont avant. il y accède grâce au coquillage qui convoite le poisson, lui-même dérangé par le mouvement du gouvernail et effrayé par une murène.	箱子裡的工具得靠兩隻小精靈合作才拿得到。溫可用一隻大海星把箱子撬開，芬格斯斯則從前甲板拿東西，他得靠貝殼去搶那條魚，魚會被舵的擺動嚇到，又被海鰻嚇一跳，才會亂動讓貝殼得手。
LLave	鑰匙
Lamp fish	燈魚
Lampenfisch	燈魚
Lance	長矛
Lancia	長矛
Langue	舌頭
Lantern	提燈
Lanza	長矛
Lanze	長矛
Lastra	石板
Lavagna nera	黑板
Le Prince Bouffon prisonnier	被囚禁的小丑王子
Le sort ne t'accorde pas de joker ici !!	命運不讓你在這裡拿提示！
Legna	柴堆
Lehm	泥巴
Lehnsessel	扶手椅
Leiterknopf	機關
Lengua	舌頭
Leone	獅子
Lesezeichen	書籤
Leuchtfeuer	提燈
León	獅子
Lichtstrahl	光線
Lid	蓋子
Lie down, you fake ninja turtle!	躺下，你這隻假忍者龜！
Lima	銼刀
Lime	銼刀
Lingua	舌頭
Lion	獅子
Little prince, please! you're holding us up. come on!	小王子，拜託別拖時間，快跟上！
Little prince, please! you're keeping us. come on!	小王子，拜託別拖時間，快跟上！
Llave	鑰匙
Llave grande	大鑰匙
Llave redonda	圓形鑰匙
Loch	洞
Lodo	泥巴
Losa	石板
Lámpara	提燈
Lápiz	鉛筆
Löwe	獅子
MOVEMENT	移動
MUSIC Charles CALLET	音樂 Charles CALLET
Macchina	機器
Machine	機器
Madriguera	洞穴
Magicien	巫師
Mago	巫師
Mains	雙手
Maionese	美乃滋
Maire	村長
Mairie	村公所
Mais pas du tout mon brave, je prends mon bain c'est tout!	才沒有，老兄，我只是在洗澡而已。
Maison	房子
Maler	畫家
Manant, il ne te reste qu'un joker!	你這笨蛋，只剩一個提示啦！
Manche	刀柄
Mango	刀柄
Mani	雙手
Manico	刀柄
Maniglia	刀柄
Manos	雙手
Manque-t'il encore quelque chose?	還缺什麼東西嗎？
Mantice	風箱
Manzana	蘋果
Manzanas	蘋果
Marameo	扮鬼臉
Marque-page	書籤
Maschine	機器
Match	火柴
Matches	火柴
Matita	鉛筆
Maulwurf	鼴鼠
Maus	老鼠
Mayonesa	美乃滋
Mayonnaise	美乃滋
Mayor	村長
Meat	肉
Meat ball	肉丸
Meat balls	肉丸
Mecanismo	機關
Meccanismo	機關
Mechanism	機關
Mechanismus	機關
Meerjungfer	美人魚
Mela	蘋果
Mele	蘋果
Mermaid	美人魚
Messere, ha ancora tre jolly!	玩家大人，你有三個提示！
Messergriff	刀柄
Messire joueur, vous avez trois jokers!	玩家大人，你有三個提示！
Mi querido amigo, ¿se lo quieren comer cocido? ¡le libraremos de ello!	可憐的朋友，他們想煮了你！我們救你
Miel	蜂蜜
Miele	蜂蜜
Mire en la carta de colores adjunta al software y escriba el número correspondiente al color de la casilla: 1 - rojo 2 - negro 3 - amarillo 4 - verde 5 - azul 6 - blanco 7 - gris 8 - malva	查色卡，輸入格子顏色代碼：1紅2黑3黃4綠5藍6白7灰8紫
Mire en la carta de colores adjunto al software y escriba el número correspondiente al campo de color: 1 - rojo 2 - negro 3 - amarillo 4 - verde 5 - azul 6 - blanco 7 - gris 8 - malva	查色卡，輸入格子顏色代碼：1紅2黑3黃4綠5藍6白7灰8紫
Molde	拓印
Mole	鼴鼠
Molla	彈簧
Molletta	衣夾
Mon pauvre ami, il veulent vous faire cuire? Nous allons vous tirer de là!	可憐的朋友，他們想煮了你！我們救你
Mondadientes	牙籤
Montón de leña	柴堆
Moray eel	海鰻
Mosquito	蚊子
Mouse	老鼠
Moustique	蚊子
Mud	泥巴
Muelle	彈簧
Murena	海鰻
Muräne	海鰻
Murène	海鰻
Muschel	貝殼
Mushroom	蘑菇
My poor friend, they want to cook you! we'll get you out of there...	可憐的朋友，他們想煮了你！我們救你
Máquina	機器
Männchen	傢伙
Mécanisme	機關
Mütze	帽子
NO, I respect the art of cooking far too much!	不行，我太尊重廚藝了……
NO, I respect the art of cooking far too much...	不行，我太尊重廚藝了……
NO, colerà tutto e lui la getterà!	不行，會滴出來，他會把它丟掉……
NO, it will spill and he'll throw it away!	不行，會滴出來，他會把它丟掉……
NO, it will spill, and he will throw it away!	不行，會滴出來，他會把它丟掉……
NO, respeto demasiado el talento culinario.	不行，我太尊重廚藝了……
NO, va a derramarse y la va a tirar...	不行，會滴出來，他會把它丟掉……
NO,ho troppo rispetto per l'arte culinaria!	不行，我太尊重廚藝了……
NOBLE bUrgomaster, whose is that lovely HOUSE WHICH REFUSES TO OPEN?	尊貴的村長，那間打死不開的房子是誰的？
NON ça va dégouliner et il va la balancer...	不行，會滴出來，他會把它丟掉……
NON, je suis trop respectueux du travail culinaire...	不行，我太尊重廚藝了……
NOTE-PAD	筆記本
NOTEPAD	筆記本
NOTIZBLOCK	筆記本
Na, worauf wartest du denn noch? in die Hände gespuckt, und los!	還等什麼？快去做事，懶骨頭！
Narr	小丑
Narrenprinz	小丑王子
Net	捕蝶網
Niemals! durch eure schuld bin ich hier im reich der toten gefangen!	不！我會困在冥界都是你們害的！
Ninfa	仙子
No problem! I'll play you a piece i composed myself...	沒問題！這首是我自己寫的曲子……
Non sei fortunato, niente jolly...	命運不讓你在這裡拿提示！
Nota	音符
Notabile	鄉紳
Notable	鄉紳
Note	音符
Now, noble magician, what can we do?	尊貴的魔法師，現在我們能做什麼？
Nymph	仙子
