U0421	巫師，幫個忙啦！你以為這很簡單啊？
U0454	凱爾建議給水精靈一份好料，她就會指出該拿哪朵蘑菇給維瓦札特看，那隻愛聽音樂又失眠的蒼鷺才肯開門。只有蜂蜜能讓水精靈原諒被打擾午睡，得先把花塞進蜂窩才拿得到。
U0455	拿到警衛櫃裡的東西後，用拓下的印子打一把廢鐵鑰匙，把阿諾綁上絞盤，就能撐開井蓋。得先分散他的注意力：芬格斯操縱怪物下巴，溫可從嘴裡講話。最後再嚇他一跳，讓他站不穩摔下去。
U0456	箱子裡的工具得靠兩隻小精靈合作才拿得到。溫可用一隻大海星把箱子撬開，芬格斯則從前甲板拿東西，他得靠貝殼去搶那條魚，魚會被舵的擺動嚇到，又被海鰻嚇一跳，才會亂動讓貝殼得手。
U0457	小丑王子吃了顆迷幻蘑菇，把兩隻小精靈拖進他的遊戲夢裡。他們得先把他關進泡泡裡，再想辦法弄根安全別針放他出來：踩著保齡球站上鍋蓋，利用彈力把別針彈出來。
U0458	巨人因醉酒被塔薩爾下令不准進村，擋住所有人的去路。要靠近他，得先把香腸塞進路上坑洞，迷昏擋路的狗。只有熱騰騰飯菜的香味能讓巨人心情變好，之後芬格斯和溫可才能請他吃喝。
U0459	摩德姆斯把芬格斯和溫可傳送到阿摩尼亞占領的城堡旁的村子。村民個個愁眉苦臉，只有村長手上有根美味香腸，還護得緊緊的。兩隻小精靈得想辦法弄到手：得先種一朵花，用花把村長迷昏。
U0460	城堡附近全亂了套，走進鐘樹的門，出來會到哪誰也說不準。要讓鐘錶大師湯姆開門，得先用氣球引開村長的注意力。但湯姆得等他們把時鐘刺耳的滴答聲換成幾位樂手譜的短曲，才肯露一手。
U0461	凱爾建議給水精靈一份好料，她就會指出該拿哪朵蘑菇給維瓦札特看，那隻愛聽音樂又失眠的蒼鷺才肯開門。只有蜂蜜能讓水精靈原諒被打擾午睡，得先把花塞進蜂窩才拿得到。
U0462	拿到警衛櫃裡的東西後，用拓下的印子打一把廢鐵鑰匙，把阿諾綁上絞盤，就能撐開井蓋。得先分散他的注意力：芬格斯操縱怪物下巴，溫可從嘴裡講話。最後再嚇他一跳，讓他站不穩摔下去。
U0463	要制伏翁卡波，得把友善藥水灑進廚師做的肉丸裡。得先惹他生氣（他最討厭肉丸太辣），趁他撲向廚師時，把圖釘放上椅墊。得先鋸斷科利比的鎖鏈才拿得到圖釘，鍋裡的小人會給你工具。
U0464	箱子裡的工具得靠兩隻小精靈合作才拿得到。溫可用一隻大海星把箱子撬開，芬格斯則從前甲板拿東西，他得靠貝殼去搶那條魚，魚會被舵的擺動嚇到，又被海鰻嚇一跳，才會亂動讓貝殼得手。
U0465	要制伏阿摩尼亞和他兩個手下，得把友善藥水混進他們最愛吃的東西裡。蟑螂很難搞，最好戴上手套抓。阿摩尼亞只愛瓢蟲，但打扮得像的蟑螂應該也能矇混過關。
U0466	小丑王子吃了顆迷幻蘑菇，把兩隻小精靈拖進他的遊戲夢裡。他們得先把他關進泡泡裡，再想辦法弄根安全別針放他出來：踩著保齡球站上鍋蓋，利用彈力把別針彈出來。
U0467	要去冥界，得先在塔薩爾那裡找到那瓶藥水，加熱到對的溫度就能打開所有的門。得想辦法惹惱這位魔法師，才能順手拿到幾樣東西，其中一樣能把骷髏放出來。
U0468	檔案／語言／設定
U0469	遊戲管理
U0470	你這笨蛋，只剩一個提示啦！
U0471	紳士啊，你還剩兩個提示！
U0472	玩家大人，你有三個提示！
U0473	筆記本
U0474	道具欄
U0475	交換道具
U0476	移動
U0477	選項
U0478	可憐蟲，你的提示用光啦！
U0479	命運不讓你在這裡拿提示！
